produto,coeff_medio,coeff_maximo,valor_fob_dolar_total,valor_fob_real_total,anos
Soja,0.3939846397913612,0.8312045482779198,8401841367.530882,40421169.9470607,22
Pimenta,0.195736868143322,0.38188991956943397,1015232994.1447144,3156962.6822777437,22
PimentaDoReino,0.19564838690585484,0.38183870706077705,1016458267.7555529,3164198.484017304,22
CastanhaDoPara,0.06580685395720973,0.2227245588718742,277737231.78996676,886774.4892420082,22
PalmitoInNatura,0.04333187106576459,0.13542181051830698,110427820.4549046,226813.42123491265,22
Milho,0.041551368832663145,0.14275626950301315,693334752.3041217,3364503.1984556913,22
Abacaxi,0.02197699512201962,0.0751040627458633,92791070.36364694,319620.42365441885,22
AcaiFruto,0.019728709803295788,0.055800225370632804,429439057.22347856,2074799.1722129472,22
Coco,0.004135247277476758,0.010667826933420953,14296665.970938224,40913.88243445899,22
Laranja,0.0035375745038418046,0.005870545966771229,52611589.5616526,246154.43797607528,22
Acucar,0.003374265761277115,0.008417787826293955,15213287.784693837,50278.805334804085,22
Arroz,0.0018230872620867053,0.004496357167862593,8722325.097275674,29823.93190230869,22
Mandioca,0.001598777369895448,0.005596561609617633,4563050.128929891,9225.290892482466,22
CacauAmendoa,0.0010577705920187298,0.0026617426982830754,14583524.107712587,62543.001640801085,22
Limao,0.0010225467401275906,0.0024145782427910825,15237057.219666122,74633.5197941321,22
Fava,0.000978990528639377,0.006144105177088395,1973950.0,2808.80766,22
Lima,0.0008779614733836868,0.0018881243819410534,6756105.311158806,30365.72128482621,22
CopaibaOleo,0.000591632183342783,0.0032107212136122257,10960077.0,49361.7544503,22
Abacate,0.0005756561144195118,0.0018085460033254385,10027102.857052471,48465.15253616339,22
Carvao,0.00047631586028307264,0.0012616697628818297,1256549.569910443,2767.9232863647057,22
Melancia,0.0003527267684755695,0.0018424224133834332,9704916.789611591,48667.134989712846,22
Banana,0.00035060566431699256,0.0018427854935001103,9668833.35533908,48489.134220487,22
BuritiFruto,0.00034721765013017103,0.001826730336511291,9547900.93553434,47842.977667262625,22
Mamao,0.000304457434478018,0.0011997813254965132,6814772.087290406,32584.051850485175,22
Goiaba,0.00028768712074914957,0.0011823383856496602,6698523.426093219,32048.589903786276,22
CajuAcuFruto,0.0001446840208359334,0.0012572683020765669,4892875.8857374545,26030.370208025786,22
Feijao,8.744766183653082e-05,0.0003018401344986221,1142269.8169434592,5826.29626327456,22
Tomate,8.377078202208067e-05,0.0006217199111274831,2188838.5886999257,10895.818356486188,22
CastanhaDeCaju,7.531940804942349e-05,0.000588136778448739,1871536.573577155,9346.250463244545,22
CavaloMangaLarga,6.828960209850774e-05,0.00012066470082494899,960031.0,4233.6859485,22
Urucum,5.6435938174463996e-05,0.0005868899525582798,1788274.7599207673,9084.686267202429,22
Lenha,1.604142397168967e-05,4.0321029604431735e-05,60632.0,180.1746024,22
CanaDeAcucar,5.326095156810372e-06,1.3441395803984057e-05,58082.288659792976,235.00648111958458,22
Amendoim,4.342296536799883e-06,1.616300498105436e-05,95987.46781115816,468.1316952618008,22
Maracuja,1.2884488437105873e-07,9.081604349749351e-07,5033.0,28.2975427,22
